cid,mouse_vi,smiles
4485,4.2,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
4488,152.0,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
4494,9.15,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
4497,26.2,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
4499,0.36,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
4506,130.0,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
4507,34.5,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
4510,10.6,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
4513,232.0,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
4538,4.9,NCC(O)c1cccc(O)c1
4539,220.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
4543,17.0,CNCCC=C1c2ccccc2CCc2ccccc21
4581,75.0,NCC(O)c1ccc(O)cc1
4583,208.0,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
