cid,mouse_vo,smiles
3089,740.0,CC(CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21)N(C)C
3091,380.0,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1
3100,160.0,CN(C)CCOC(c1ccccc1)c1ccccc1
3102,2895.0,O=C(c1ccccc1)c1ccccc1
3103,250.0,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1
3108,2150.0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
3114,352.0,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
3117,1980.0,CCN(CC)C(=S)SSC(=S)N(CC)CC
3118,4.8,CCOP(=S)(OCC)SCCSCC
3121,1098.0,CCCC(CCC)C(=O)O
3128,100.0,CNC(C)Cc1ccc(Cl)cc1
3151,8000.0,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
3162,470.0,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
3169,620.0,OCC(O)CN1CCN(c2ccccc2)CC1
3182,1954.0,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
3191,4000.0,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1
3213,178.0,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12
3221,960.0,CCOc1c(N2CCOCC2)cnn(C)c1=O
3224,7.36,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
3226,5.0,FC(F)OC(F)(F)C(F)Cl
3229,4000.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
3242,740.0,COc1cc(C)nc(-n2nc(C)cc2OC)n1
3259,4000.0,O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I
3261,600.0,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
3278,600.0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
