cid,rat_vi,smiles
4830,48.0,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
4831,529.0,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21
4837,1340.0,C1CNCCN1
4839,100.0,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1
4849,700.0,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1
4855,158.0,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21
4873,142.0,[Cl-].[K+]
4883,130.0,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
4913,110.0,CCN(CC)CCNC(=O)c1ccc(N)cc1
4914,42.0,CCN(CC)CCOC(=O)c1ccc(N)cc1
4917,20.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
4926,14.5,CN(C)CCCN1c2ccccc2Sc2ccccc21
4927,45.0,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
4930,45.0,CC(C)NCC(O)c1ccc2ccccc2c1
4938,180.0,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C
4943,42.0,CC(C)c1cccc(C(C)C)c1O
4944,11.0,CNC(=O)Oc1ccccc1OC(C)C
4946,23.0,CC(C)NCC(O)COc1cccc2ccccc12
4977,430.0,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
4980,75.0,CN(C)CCc1c[nH]c2cccc(O)c12
5037,450.0,Cc1c(NC(C)C)c(=O)n(-c2ccccc2)n1C
5039,93.0,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
5042,700.0,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1
5070,22.0,Nc1nc2ccc(OC(F)(F)F)cc2s1
5073,34.300000000000004,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
5154,28.7,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
5190,40.0,N#Cc1cc2c(OCC(O)CN3CCN(C(c4ccccc4)c4ccccc4)CC3)cccc2[nH]1
5193,80.0,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
5202,30.0,NCCc1c[nH]c2ccc(O)cc12
5215,880.0,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
5235,26.0,[F-].[Na+]
5238,1060.0,[I-].[Na+]
5241,300.0,CN(C)C=Nc1c(I)cc(I)c(CCC(=O)O)c1I
5265,14.0,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
5281,21.5,CCCCCCCCCCCCCCCCCC(=O)O
5320,6600.0,CC(=O)NS(=O)(=O)c1ccc(N)cc1
5325,1100.0,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
5326,1000.0,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
5328,2710.0,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
5333,1400.0,Nc1ccc(S(N)(=O)=O)cc1
5335,525.0,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
5336,800.0,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
5339,1520.0,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
5340,1370.0,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
5342,154.0,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
5353,91.0,COc1cc(S(C)=O)ccc1-c1nc2ncccc2[nH]1
5355,40.0,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
5359,226.0,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
5362,305.0,CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
5380,1119.0,CCCCOC(=O)C(=O)Nc1cccc(-c2nn[nH]n2)c1
5386,685.0,O=c1[nH]c(=O)n(C2CCCO2)cc1F
5411,6.0,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
5413,63.0,CC[N+](CC)(CC)CC
5452,71.0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
5453,9.4,S=P(N1CC1)(N1CC1)N1CC1
5472,70.0,Clc1ccccc1CN1CCc2sccc2C1
5479,250.0,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
5497,191.0,CCN(CC)C(=O)c1cccnc1
5501,110.0,CCOC(=O)NNc1nncc2ccccc12
5502,103.0,CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21
5505,700.0,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
5526,1200.0,NCC1CCC(C(=O)O)CC1
5531,76.0,CCN(CC)c1cc(C)nc2ncnn12
5533,91.0,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
5536,350.0,CCOc1cc(OCC)c(C(=O)CCC(=O)O)cc1OCC
5560,920.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
5564,29.0,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
5567,14.0,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1
5574,35.0,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21
5576,160.0,CN1C(=O)OC(C)(C)C1=O
5632,650.0,CCCCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1
5639,140.0,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1
5663,79.3,COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC
5666,60.0,CCOc1ccccc1OCC1CNCCO1
5727,3.69,Cl[Zn]Cl
5734,672.0,NS(=O)(=O)Cc1noc2ccccc12
5735,280.0,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
