cid,rat_vo,smiles
3100,390.0,CN(C)CCOC(c1ccccc1)c1ccccc1
3102,10000.0,O=C(c1ccccc1)c1ccccc1
3108,8400.0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
3114,333.0,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
3117,500.0,CCN(CC)C(=S)SSC(=S)N(CC)CC
3118,2.6,CCOP(=S)(OCC)SCCSCC
3120,1017.0,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
3121,670.0,CCCC(CCC)C(=O)O
3128,110.0,CNC(C)Cc1ccc(Cl)cc1
3151,5243.0,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
3168,750.0,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
3169,750.0,OCC(O)CN1CCN(c2ccccc2)CC1
3191,4000.0,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1
3221,1900.0,CCOc1c(N2CCOCC2)cnn(C)c1=O
3224,18.0,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
3226,5450.0,FC(F)OC(F)(F)C(F)Cl
3229,5000.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
3242,445.0,COc1cc(C)nc(-n2nc(C)cc2OC)n1
3261,2500.0,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
3278,1000.0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
3282,2200.0,CCOc1ccccc1C(N)=O
3283,1215.0,CCOCC
3284,331.0,C#CC1(OC(N)=O)CCCCC1
3286,13.0,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
3289,34.0,CCCSP(=O)(OCC)SCCC
3291,1820.0,CCC1(C)CC(=O)NC1=O
3292,1500.0,CCN1C(=O)NC(c2ccccc2)C1=O
3293,800.0,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2
3299,10000.0,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O
3301,1200.0,NCCN
3306,114.0,CCNCC(O)c1cccc(O)c1
3307,3509.0,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl
3308,94.0,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
3309,695.0,CCN1C(=O)c2ccccc2C1Nc1ccc(OCCN2CCCCC2)cc1
3314,1930.0,C=CCc1ccc(O)c(OC)c1
3316,5000.0,CCCCCCOc1ccccc1C(N)=O
3331,5000.0,NC(=O)OCC(COC(N)=O)c1ccccc1
3332,164.0,O=C(O)Cc1ccc(-c2ccccc2)cc1
3333,1050.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
3334,10000.0,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1
3335,200.0,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
3337,130.0,CCNC(C)Cc1cccc(C(F)(F)F)c1
3338,5432.0,CCCCC(O)c1ccccc1
3339,2000.0,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
3344,980.0,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
3345,18.0,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
3346,180.0,COP(=S)(OC)Oc1ccc(SC)c(C)c1
3347,70.2,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
3357,4000.0,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1
3360,535.0,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12
3362,2380.0,CCC(=O)c1c(O)cc(O)cc1O
3365,1271.0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
3366,15000.0,Nc1[nH]c(=O)ncc1F
3369,1740.0,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
3371,249.0,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
3373,4200.0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
3380,415.0,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
3385,230.0,O=c1[nH]cc(F)c(=O)[nH]1
3386,825.0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
3388,19.0,CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
3389,230.0,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
3393,980.0,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
3394,117.0,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
3395,66.0,CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1
3397,787.0,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
3398,6000.0,O=C1CN2CCOC2(c2ccccc2F)c2cc(Cl)ccc2N1CCO
3400,10060.0,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC1CC1
3401,808.0,Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1
3406,534.0,Cc1cn[nH]c1
3418,1104.0,O=C(O)c1ccccc1OP(=O)(O)O
3435,2336.0,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1
3440,2600.0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
3442,480.0,CCCCc1ccc(C(=O)O)nc1
3444,365.0,Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1
3463,1414.0,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
3467,6600.0,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1
3474,2300.0,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
3485,134.0,O=CCCCC=O
3487,600.0,CCC1(c2ccccc2)CCC(=O)NC1=O
3488,20000.0,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
3489,500.0,CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1
3496,4873.0,O=C(O)CNCP(=O)(O)O
3503,2315.0,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
3515,1550.0,Cc1ccc(C(C)C)cc2c(C)ccc1-2
3516,1510.0,COc1ccccc1OCC(O)CO
3518,1050.0,NC(N)=NCCN1CCCCCCC1
3526,300.0,NC(N)=NCCCCCCCCNCCCCCCCCN=C(N)N
3539,350.0,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1)OCO3
3559,128.0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
3561,5600.0,Clc1cc(Cl)c(OCC#CI)cc1Cl
3562,5680.0,FC(F)(F)C(Cl)Br
3563,2858.0,O=C1CN2CCOC2(c2ccccc2F)c2cc(Br)ccc2N1
